layer,acc_sum,acc_avg,n,family,variant,model,dataset,max_layer,rel_depth
16,0.7413134328358209,0.7169402985074627,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,1.0
1,0.2757201646090535,0.09990855052583447,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.0625
2,0.2681755829903978,0.05235482395976223,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.125
3,0.2885230909922268,0.11156835848193873,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.1875
4,0.2967535436671239,0.12985825331504344,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.25
5,0.30475537265660724,0.14609053497942387,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.3125
6,0.3017832647462277,0.14334705075445817,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.375
7,0.30475537265660724,0.13786008230452676,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.4375
8,0.32853223593964337,0.18358481938728852,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.5
9,0.33356195701874713,0.17924096936442616,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.5625
10,0.3479652491998171,0.20278920896204847,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.625
11,0.3717421124828532,0.2544581618655693,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.6875
12,0.40009144947416553,0.30292638317329673,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.75
13,0.4172382258802012,0.33927754915409236,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.8125
14,0.4348422496570645,0.3584819387288523,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.875
15,0.46844993141289437,0.37197073616826704,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,0.9375
16,0.516689529035208,0.48399634202103337,4374,Llama-3.2-1B,it,Llama-3.2-1B-it,ewok,16,1.0
1,0.14655223880597015,0.08956716417910449,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.03571428571428571
2,0.19332835820895522,0.1778507462686567,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.07142857142857142
3,0.21522388059701492,0.20061194029850749,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.10714285714285714
4,0.2302089552238806,0.2173283582089552,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.14285714285714285
5,0.25683582089552237,0.24183582089552239,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.17857142857142858
6,0.270089552238806,0.2545373134328358,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.21428571428571427
7,0.28291044776119406,0.26737313432835824,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.25
8,0.30301492537313435,0.29032835820895525,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.2857142857142857
9,0.3029104477611941,0.28968656716417907,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.32142857142857145
10,0.32564179104477614,0.31076119402985075,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.35714285714285715
11,0.33073134328358206,0.3213432835820896,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.39285714285714285
12,0.36207462686567166,0.35250746268656713,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.42857142857142855
13,0.3896716417910448,0.37570149253731344,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.4642857142857143
14,0.4131194029850746,0.4012388059701492,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.5
15,0.4392686567164179,0.4269850746268657,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.5357142857142857
16,0.4526865671641791,0.44617910447761194,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.5714285714285714
17,0.48819402985074634,0.4804179104477612,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.6071428571428571
18,0.5205074626865672,0.5115373134328358,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.6428571428571429
19,0.5386268656716418,0.5319701492537314,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.6785714285714286
20,0.5749701492537314,0.5671194029850746,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.7142857142857143
21,0.6103283582089553,0.6025970149253732,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.75
22,0.6453432835820896,0.6378208955223881,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.7857142857142857
23,0.6697313432835821,0.6627313432835821,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.8214285714285714
24,0.6860746268656717,0.6771641791044776,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.8571428571428571
