layer,acc_sum,acc_avg,n,family,variant,model,dataset,max_layer,rel_depth
23,0.4405578417924097,0.39071787837219935,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.71875
24,0.45793324188385914,0.40420667581161407,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.75
25,0.46524919981710106,0.41678097850937357,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.78125
26,0.4657064471879287,0.41037951531778694,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.8125
27,0.46593507087334246,0.40900777320530407,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.84375
28,0.47599451303155005,0.41335162322816643,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.875
29,0.474851394604481,0.41678097850937357,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.90625
30,0.47782350251486055,0.41655235482395975,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.9375
31,0.4817101051668953,0.4218106995884774,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.96875
32,0.5354366712391404,0.5043438500228624,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,1.0
1,0.101,0.00013432835820895525,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.03125
2,0.11207462686567164,0.003029850746268657,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.0625
3,0.1297462686567164,0.01746268656716418,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.09375
4,0.1511940298507463,0.0706865671641791,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.125
5,0.16629850746268657,0.09561194029850746,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.15625
6,0.17567164179104477,0.10601492537313432,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.1875
7,0.1870597014925373,0.12840298507462686,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.21875
8,0.21213432835820895,0.16195522388059702,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.25
9,0.2158955223880597,0.16522388059701493,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.28125
10,0.22605970149253732,0.18197014925373134,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.3125
11,0.23931343283582088,0.2003731343283582,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.34375
12,0.24404477611940298,0.2084776119402985,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.375
13,0.2657014925373134,0.2294776119402985,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.40625
14,0.2735522388059701,0.23967164179104478,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.4375
15,0.29455223880597015,0.2614925373134328,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.46875
16,0.327820895522388,0.291,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.5
17,0.35502985074626864,0.3223283582089552,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.53125
18,0.3982985074626866,0.3663880597014925,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.5625
19,0.41976119402985074,0.39273134328358206,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.59375
20,0.4398805970149254,0.4147014925373134,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.625
21,0.455089552238806,0.4323880597014925,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.65625
22,0.48329850746268654,0.46386567164179104,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.6875
23,0.5138805970149254,0.49364179104477607,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.71875
24,0.5312537313432836,0.5119701492537313,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.75
25,0.549134328358209,0.5320895522388059,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.78125
26,0.5703432835820895,0.5534776119402984,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.8125
27,0.5827014925373135,0.5649253731343283,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.84375
28,0.590044776119403,0.5737462686567164,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.875
29,0.6143880597014926,0.5977164179104477,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.90625
30,0.6309701492537313,0.6137611940298507,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.9375
31,0.693820895522388,0.6799850746268656,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,0.96875
32,0.7552537313432836,0.7300746268656716,67000,Llama-3.1-8B,it,Llama-3.1-8B-it,blimp,32,1.0
1,0.2505715592135345,0.0,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.03125
2,0.25651577503429357,0.0,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.0625
3,0.26337448559670784,0.006172839506172839,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.09375
4,0.27480566986739824,0.056241426611796985,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.125
5,0.2816643804298125,0.08641975308641975,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.15625
6,0.2878372199359854,0.09625057155921353,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.1875
7,0.28280749885688156,0.12322816643804298,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.21875
8,0.29286694101508914,0.12574302697759487,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.25
9,0.2965249199817101,0.11385459533607682,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.28125
10,0.30064014631915864,0.13237311385459533,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.3125
11,0.309785093735711,0.14288980338363055,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.34375
12,0.3052126200274348,0.1392318244170096,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.375
13,0.3084133516232282,0.14517604023776864,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.40625
14,0.3184727937814358,0.1550068587105624,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.4375
15,0.3303612254229538,0.17741197988111568,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.46875
16,0.32533150434385,0.1904435299497028,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.5
17,0.350480109739369,0.2085048010973937,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.53125
18,0.36899862825788754,0.24439871970736168,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.5625
19,0.36716963877457703,0.24874256973022404,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.59375
20,0.38751714677640603,0.28737997256515774,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.625
21,0.3996342021033379,0.30566986739826246,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.65625
22,0.4382716049382716,0.35185185185185186,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.6875
23,0.44695930498399633,0.37037037037037035,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.71875
24,0.4718792866941015,0.39026063100137176,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.75
25,0.4757658893461363,0.3888888888888889,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.78125
26,0.4721079103795153,0.38797439414723367,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.8125
27,0.4826245999085505,0.3943758573388203,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.84375
28,0.48879743941472337,0.41380887059899407,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.875
29,0.48811156835848196,0.4275262917238226,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.90625
30,0.4826245999085505,0.41883859167809784,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.9375
31,0.4945130315500686,0.43164151806127116,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,0.96875
32,0.508459076360311,0.4625057155921353,4374,Llama-3.1-8B,it,Llama-3.1-8B-it,ewok,32,1.0
1,0.4976119402985075,0.4815223880597015,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.038461538461538464
2,0.48576119402985074,0.47561194029850745,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.07692307692307693
3,0.4784477611940298,0.4603582089552239,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.11538461538461539
4,0.4411194029850746,0.421179104477612,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.15384615384615385
5,0.3422537313432836,0.32038805970149253,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.19230769230769232
6,0.3505223880597015,0.33407462686567163,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.23076923076923078
7,0.34928358208955224,0.33313432835820894,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.2692307692307692
8,0.31931343283582087,0.2945970149253731,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.3076923076923077
9,0.3079253731343284,0.29149253731343283,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.34615384615384615
10,0.3233582089552239,0.30462686567164177,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.38461538461538464
11,0.31150746268656715,0.2875671641791045,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.4230769230769231
12,0.3155970149253731,0.29102985074626864,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.46153846153846156
13,0.30128358208955225,0.2817761194029851,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.5
14,0.30147761194029854,0.2849402985074627,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.5384615384615384
15,0.3135820895522388,0.296179104477612,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.5769230769230769
16,0.3486268656716418,0.3304179104477612,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.6153846153846154
17,0.38961194029850743,0.36623880597014924,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.6538461538461539
18,0.4216865671641791,0.39370149253731346,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.6923076923076923
19,0.44899999999999995,0.42462686567164176,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.7307692307692307
20,0.44358208955223877,0.42038805970149257,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.7692307692307693
21,0.44792537313432834,0.42770149253731343,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.8076923076923077
22,0.4528059701492537,0.43762686567164183,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.8461538461538461
23,0.4527014925373134,0.44395522388059705,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.8846153846153846
24,0.466044776119403,0.4601641791044776,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.9230769230769231
25,0.5235671641791045,0.5232388059701493,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,0.9615384615384616
26,0.7732985074626866,0.7525970149253731,67000,Gemma-3-1B,base,Gemma-3-1B,blimp,26,1.0
1,0.507087334247828,0.4791952446273434,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.038461538461538464
2,0.46502057613168724,0.4458161865569273,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.07692307692307693
3,0.4428440786465478,0.42135345221764975,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.11538461538461539
4,0.46844993141289437,0.43918609967992683,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.15384615384615385
5,0.47073616826703246,0.44238683127572015,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.19230769230769232
6,0.4458161865569273,0.411522633744856,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.23076923076923078
7,0.4483310470964792,0.4304983996342021,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.2692307692307692
8,0.44261545496113397,0.4147233653406493,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.3076923076923077
9,0.4373571101966164,0.41883859167809784,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.34615384615384615
10,0.4355281207133059,0.41289437585733885,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.38461538461538464
11,0.44261545496113397,0.4076360310928212,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.4230769230769231
12,0.42638317329675357,0.39483310470964794,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.46153846153846156
13,0.4430727023319616,0.40489254686785553,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.5
14,0.428212162780064,0.4053497942386831,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.5384615384615384
15,0.4288980338363054,0.4195244627343393,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.5769230769230769
16,0.417466849565615,0.4076360310928212,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.6153846153846154
17,0.4131229995427526,0.39254686785550985,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.6538461538461539
18,0.42935528120713307,0.417466849565615,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.6923076923076923
19,0.4357567443987197,0.428212162780064,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.7307692307692307
20,0.44787379972565156,0.4218106995884774,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.7692307692307693
21,0.453360768175583,0.43141289437585734,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.8076923076923077
22,0.4483310470964792,0.4357567443987197,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.8461538461538461
23,0.4414723365340649,0.4380429812528578,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.8846153846153846
24,0.448559670781893,0.4412437128486511,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.9230769230769231
25,0.45564700502972105,0.4492455418381344,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,0.9615384615384616
26,0.5265203475080018,0.5080018289894833,4374,Gemma-3-1B,base,Gemma-3-1B,ewok,26,1.0
1,0.45732835820895523,0.4487761194029851,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.038461538461538464
2,0.46086567164179104,0.45850746268656717,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.07692307692307693
3,0.4854477611940298,0.47973134328358213,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.11538461538461539
4,0.4346417910447761,0.4139850746268656,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.15384615384615385
5,0.3973731343283582,0.39358208955223883,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.19230769230769232
6,0.39297014925373136,0.37059701492537317,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.23076923076923078
7,0.38637313432835824,0.37117910447761193,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.2692307692307692
8,0.34992537313432837,0.32623880597014926,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.3076923076923077
9,0.33817910447761196,0.3192089552238806,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.34615384615384615
10,0.34034328358208954,0.325910447761194,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.38461538461538464
11,0.3311492537313433,0.30761194029850747,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.4230769230769231
12,0.3168059701492537,0.28732835820895525,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.46153846153846156
13,0.31977611940298506,0.2957313432835821,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.5
14,0.3205970149253731,0.2989253731343283,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.5384615384615384
15,0.33934328358208954,0.32150746268656716,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.5769230769230769
16,0.3608507462686567,0.34761194029850745,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.6153846153846154
17,0.3891492537313433,0.3818805970149253,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.6538461538461539
18,0.38398507462686565,0.3752388059701493,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.6923076923076923
19,0.3898059701492537,0.37043283582089553,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.7307692307692307
20,0.41608955223880595,0.3974029850746269,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.7692307692307693
21,0.42380597014925375,0.41040298507462686,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.8076923076923077
22,0.42540298507462687,0.4149402985074627,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.8461538461538461
23,0.4328507462686567,0.42540298507462687,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.8846153846153846
24,0.42644776119402983,0.4184477611940299,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.9230769230769231
25,0.4673432835820896,0.45949253731343287,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,0.9615384615384616
26,0.6997910447761194,0.6865074626865671,67000,Gemma-3-1B,it,Gemma-3-1B-it,blimp,26,1.0
1,0.5121170553269319,0.5297210791037952,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.038461538461538464
2,0.5132601737540009,0.5290352080475538,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.07692307692307693
3,0.534750800182899,0.5219478737997256,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.11538461538461539
4,0.4993141289437586,0.464106081390032,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.15384615384615385
5,0.46433470507544583,0.4666209419295839,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.19230769230769232
6,0.4588477366255144,0.43072702331961593,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.23076923076923078
7,0.4780521262002744,0.459304983996342,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.2692307692307692
8,0.46776406035665297,0.4483310470964792,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.3076923076923077
9,0.4638774577046182,0.4256973022405121,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.34615384615384615
10,0.45038866026520347,0.4311842706904435,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.38461538461538464
11,0.45267489711934156,0.39071787837219935,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.4230769230769231
12,0.4396433470507545,0.38751714677640603,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.46153846153846156
13,0.4405578417924097,0.40580704160951075,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.5
14,0.4336991312299954,0.4021490626428898,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.5384615384615384
15,0.44650205761316875,0.4254686785550983,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.5769230769230769
16,0.427069044352995,0.41655235482395975,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.6153846153846154
17,0.433013260173754,0.43004115226337447,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.6538461538461539
18,0.4453589391860997,0.4414723365340649,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.6923076923076923
19,0.45953360768175583,0.4295839048925469,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.7307692307692307
20,0.4586191129401006,0.43872885230909925,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.7692307692307693
21,0.4609053497942387,0.44467306812985824,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.8076923076923077
22,0.4529035208047554,0.4458161865569273,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.8461538461538461
23,0.453360768175583,0.4508459076360311,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.8846153846153846
24,0.4529035208047554,0.45656149977137633,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.9230769230769231
25,0.45038866026520347,0.45198902606310015,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,0.9615384615384616
26,0.5386374028349337,0.5253772290809328,4374,Gemma-3-1B,it,Gemma-3-1B-it,ewok,26,1.0
1,0.36328358208955225,0.34043283582089556,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.029411764705882353
2,0.3774477611940299,0.3597313432835821,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.058823529411764705
3,0.3425820895522388,0.3228358208955224,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.08823529411764706
4,0.3300746268656716,0.3055074626865672,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.11764705882352941
5,0.3226865671641791,0.2981194029850746,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.14705882352941177
6,0.2968059701492537,0.2841791044776119,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.17647058823529413
7,0.28240298507462686,0.25638805970149253,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.20588235294117646
8,0.298089552238806,0.2767313432835821,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.23529411764705882
9,0.2536268656716418,0.23982089552238808,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.2647058823529412
10,0.2691641791044776,0.2504776119402985,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.29411764705882354
11,0.273044776119403,0.2503283582089552,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.3235294117647059
12,0.2663134328358209,0.24516417910447763,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.35294117647058826
13,0.26568656716417915,0.2506865671641791,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.38235294117647056
14,0.2649402985074627,0.24732835820895524,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.4117647058823529
15,0.25019402985074624,0.2295074626865672,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.4411764705882353
16,0.2585970149253731,0.2384925373134328,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.47058823529411764
17,0.25864179104477614,0.23774626865671641,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.5
18,0.264910447761194,0.2421492537313433,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.5294117647058824
19,0.2714029850746269,0.24959701492537312,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.5588235294117647
20,0.28476119402985073,0.2626268656716418,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.5882352941176471
21,0.31322388059701495,0.2924328358208955,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.6176470588235294
22,0.3346716417910448,0.31498507462686565,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.6470588235294118
23,0.37361194029850747,0.3542537313432836,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.6764705882352942
24,0.39307462686567163,0.37370149253731344,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.7058823529411765
25,0.40455223880597013,0.3869850746268657,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.7352941176470589
26,0.43270149253731344,0.41549253731343283,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.7647058823529411
27,0.433,0.41453731343283584,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.7941176470588235
28,0.43902985074626866,0.421,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.8235294117647058
29,0.4788208955223881,0.454820895522388,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.8529411764705882
30,0.48362686567164176,0.458,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.8823529411764706
31,0.49380597014925376,0.46980597014925374,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.9117647058823529
32,0.536820895522388,0.5227761194029851,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.9411764705882353
33,0.591044776119403,0.586089552238806,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,0.9705882352941176
34,0.7774029850746268,0.7544328358208955,67000,Gemma-3-4B,base,Gemma-3-4B,blimp,34,1.0
1,0.3838591678097851,0.3813443072702332,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.029411764705882353
2,0.4023776863283036,0.40100594421582075,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.058823529411764705
3,0.42455418381344306,0.40420667581161407,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.08823529411764706
4,0.41289437585733885,0.39849108367626884,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.11764705882352941
5,0.4279835390946502,0.41129401005944216,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.14705882352941177
6,0.40809327846364885,0.37037037037037035,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.17647058823529413
7,0.40054869684499317,0.3811156835848194,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.20588235294117646
8,0.42112482853223593,0.4044352994970279,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.23529411764705882
9,0.42386831275720166,0.3936899862825789,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.2647058823529412
10,0.4304983996342021,0.4147233653406493,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.29411764705882354
11,0.45724737082761774,0.43232738911751256,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.3235294117647059
12,0.4508459076360311,0.418609967992684,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.35294117647058826
13,0.44467306812985824,0.4149519890260631,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.38235294117647056
14,0.45496113397347965,0.43918609967992683,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.4117647058823529
15,0.4433013260173754,0.42638317329675357,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.4411764705882353
16,0.44192958390489256,0.42661179698216734,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.47058823529411764
17,0.4336991312299954,0.41678097850937357,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.5
18,0.4325560128029264,0.4074074074074074,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.5294117647058824
19,0.43850022862368543,0.395976223136717,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.5588235294117647
20,0.4295839048925469,0.3895747599451303,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.5882352941176471
21,0.4295839048925469,0.3991769547325103,4374,Gemma-3-4B,base,Gemma-3-4B,ewok,34,0.6176470588235294
